text,genre
The dragon flew over the castle. The wizard cast a spell. is the the,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. a is is,Romance
The detective found a clue at the crime scene. Who was the killer? a is the,Mystery
The detective found a clue at the crime scene. Who was the killer? a is the,Mystery
The dragon flew over the castle. The wizard cast a spell. a was was,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. was is the,Romance
The spaceship landed on the alien planet. The robots were friendly. is is a,Science Fiction
She looked into his eyes and knew he was the one. Love was in the air. was is was,Romance
The spaceship landed on the alien planet. The robots were friendly. was was the,Science Fiction
The detective found a clue at the crime scene. Who was the killer? is a the,Mystery
The spaceship landed on the alien planet. The robots were friendly. is was is,Science Fiction
The detective found a clue at the crime scene. Who was the killer? a the is,Mystery
The spaceship landed on the alien planet. The robots were friendly. a is a,Science Fiction
The dragon flew over the castle. The wizard cast a spell. a was the,Fantasy
The detective found a clue at the crime scene. Who was the killer? a was was,Mystery
The dragon flew over the castle. The wizard cast a spell. was was the,Fantasy
The dragon flew over the castle. The wizard cast a spell. is a a,Fantasy
The spaceship landed on the alien planet. The robots were friendly. a is a,Science Fiction
She looked into his eyes and knew he was the one. Love was in the air. was is a,Romance
The spaceship landed on the alien planet. The robots were friendly. a was the,Science Fiction
The detective found a clue at the crime scene. Who was the killer? a a is,Mystery
The spaceship landed on the alien planet. The robots were friendly. a the was,Science Fiction
The detective found a clue at the crime scene. Who was the killer? a the is,Mystery
The dragon flew over the castle. The wizard cast a spell. was was was,Fantasy
The detective found a clue at the crime scene. Who was the killer? a a the,Mystery
The dragon flew over the castle. The wizard cast a spell. the was the,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. the the a,Romance
The detective found a clue at the crime scene. Who was the killer? a the a,Mystery
The detective found a clue at the crime scene. Who was the killer? a is a,Mystery
The dragon flew over the castle. The wizard cast a spell. was a the,Fantasy
The detective found a clue at the crime scene. Who was the killer? the the the,Mystery
She looked into his eyes and knew he was the one. Love was in the air. a the a,Romance
The detective found a clue at the crime scene. Who was the killer? the is is,Mystery
The detective found a clue at the crime scene. Who was the killer? the is is,Mystery
She looked into his eyes and knew he was the one. Love was in the air. was was the,Romance
The detective found a clue at the crime scene. Who was the killer? was is the,Mystery
The dragon flew over the castle. The wizard cast a spell. a was a,Fantasy
The dragon flew over the castle. The wizard cast a spell. the the is,Fantasy
The dragon flew over the castle. The wizard cast a spell. the the is,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. is was a,Romance
The spaceship landed on the alien planet. The robots were friendly. a a a,Science Fiction
The dragon flew over the castle. The wizard cast a spell. a the is,Fantasy
The detective found a clue at the crime scene. Who was the killer? was the a,Mystery
The dragon flew over the castle. The wizard cast a spell. is is was,Fantasy
